Occupation Type,ANZSCO Code,Sub-Profile Code,ANZSCO Title,ANZSCO Description
NEC category,621999,,Sales Assistants and Salespersons nec,"This occupation group covers Sales Assistants and Salespersons not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 621999 Sales Assistants and Salespersons nec."
NEC category,711199,,"Clay, Concrete, Glass and Stone Processing Machine Operators nec","This occupation group covers Clay, Concrete, Glass and Stone Processing Machine Operators not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 711199 Clay, Concrete, Glass and Stone Processing Machine Operators nec."
NEC category,711599,,Plastics and Rubber Production Machine Operators nec,"This occupation group covers Plastics and Rubber Production Machine Operators not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 711599 Plastics and Rubber Production Machine Operators nec."
NEC category,711799,,Textile and Footwear Production Machine Operators nec,"This occupation group covers Textile and Footwear Production Machine Operators not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 711799 Textile and Footwear Production Machine Operators nec."
NEC category,711999,,Machine Operators nec,"This occupation group covers Machine Operators not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 711999 Machine Operators nec."
NEC category,712999,,Stationary Plant Operators nec,"This occupation group covers Stationary Plant Operators not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 712999 Stationary Plant Operators nec."
NEC category,721999,,Mobile Plant Operators nec,"This occupation group covers Mobile Plant Operators not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 721999 Mobile Plant Operators nec."
NEC category,731199,,Automobile Drivers nec,"This occupation group covers Automobile Drivers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 731199 Automobile Drivers nec."
NEC category,811699,,Cleaners nec,"This occupation group covers Cleaners not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 811699 Cleaners nec."
NEC category,831199,,Food and Drink Factory Workers nec,"This occupation group covers Food and Drink Factory Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 831199 Food and Drink Factory Workers nec."
NEC category,832199,,Packers nec,"This occupation group covers Packers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 832199 Packers nec."
NEC category,842299,,Crop Farm Workers nec,"This occupation group covers Crop Farm Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 842299 Crop Farm Workers nec."
NEC category,842399,,Livestock Farm Workers nec,"This occupation group covers Livestock Farm Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 842399 Livestock Farm Workers nec."
NEC category,843999,,Forestry and Garden Workers nec,"This occupation group covers Forestry and Garden Workers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 843999 Forestry and Garden Workers nec."
NEC category,851299,,Food Trades Assistants nec,"This occupation group covers Food Trades Assistants not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 851299 Food Trades Assistants nec."
NEC category,899999,,Labourers nec,"This occupation group covers Labourers not elsewhere classified (nec). Data for core competencies, specialist tasks and technology tools are not available for 899999 Labourers nec."
NEC category occupation,121399,N01,Alpaca Farmer,"Plan, direct, or coordinate the management or operation of an alpaca farm. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or care of animals, and financial and marketing activities."
NEC category occupation,121399,N02,Crocodile Farmer,"Plan, direct, or coordinate the management or operation of a crocodile farm. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or care of animals, and financial and marketing activities."
NEC category occupation,121399,N03,Dog Breeder,"Select and breed dogs according to their genealogy, characteristics, and offspring. May require knowledge of artificial insemination techniques and equipment use. May involve keeping records on heats, birth intervals, or pedigree."
NEC category occupation,121399,N04,Emu Farmer,"Plan, direct, or coordinate the management or operation of an emu farm. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or care of animals, and financial and marketing activities."
NEC category occupation,121399,N05,Llama Farmer,"Plan, direct, or coordinate the management or operation of a llama farm. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or care of animals, and financial and marketing activities."
NEC category occupation,121399,N06,Ostrich Farmer,"Plan, direct, or coordinate the management or operation of an ostrich farm. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or care of animals, and financial and marketing activities."
NEC category occupation,121599,N01,Tree Farmer,"Plan, direct, or coordinate the management or operation of farms, greenhouses, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities."
NEC category occupation,121699,N01,Coffee Grower,"Plan, direct, or coordinate the management or operation of farms, greenhouses, nurseries, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities."
NEC category occupation,121699,N02,Ginger Farmer,"Plan, direct, or coordinate the management or operation of farms, greenhouses, nurseries, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities."
